Watch_Time_Hours,User_Rating,Subscription_Type
0.12,1,Premium
0.22,1,Standard
0.24,1,Premium
0.26,1,Standard
0.29,1,Standard
0.31,1,Premium
0.31,1,Standard
0.36,1,Standard
0.4,1,Basic
0.47,1,Premium
0.5,1,Premium
0.53,1,Basic
0.55,1,Standard
0.57,1,Basic
0.64,1,Basic
0.67,1,Basic
0.69,1,Standard
0.72,1,Standard
0.74,1,Premium
0.75,1,Basic
0.75,1,Standard
0.81,1,Premium
0.83,1,Basic
0.84,1,Premium
0.99,1,Premium
1.05,1,Standard
1.09,1,Basic
1.13,1,Premium
1.16,1,Premium
1.22,1,Standard
1.27,1,Standard
1.33,1,Basic
1.37,1,Premium
1.41,1,Standard
1.48,1,Basic
1.48,1,Premium
1.55,1,Premium
1.67,1,Basic
1.7,1,Basic
1.71,1,Basic
1.71,1,Premium
1.8,1,Premium
1.81,1,Basic
1.92,1,Premium
2,1,Basic
2.01,1,Standard
2.07,1,Premium
2.12,1,Basic
2.2,1,Basic
2.25,1,Standard
2.29,1,Premium
2.31,1,Standard
2.35,1,Premium
2.36,1,Basic
2.37,1,Standard
2.52,1,Basic
2.55,1,Premium
2.61,1,Basic
2.62,1,Premium
2.62,1,Standard
2.68,1,Standard
2.75,1,Basic
2.77,1,Premium
2.77,1,Standard
2.8,1,Standard
2.84,1,Basic
2.84,1,Standard
2.85,1,Premium
2.88,1,Basic
2.9,1,Basic
2.98,1,Standard
3.09,1,Basic
3.18,1,Standard
3.21,1,Premium
3.22,1,Premium
3.24,1,Standard
3.27,1,Basic
3.27,1,Premium
3.32,1,Standard
3.43,1,Premium
3.47,1,Premium
3.64,1,Basic
3.69,1,Premium
3.74,1,Basic
3.78,1,Premium
3.87,1,Basic
3.89,1,Premium
3.92,1,Basic
4.02,1,Standard
4.06,1,Standard
4.19,1,Basic
4.21,1,Premium
4.26,1,Basic
4.3,1,Basic
4.39,1,Standard
4.4,1,Premium
4.5,1,Basic
4.71,1,Basic
4.86,1,Standard
4.91,1,Standard
5.02,1,Standard
5.07,1,Basic
5.08,1,Premium
5.14,1,Premium
5.16,1,Basic
5.28,1,Premium
5.3,1,Premium
5.33,1,Basic
5.34,1,Premium
5.39,1,Basic
5.49,1,Premium
5.53,1,Standard
5.6,1,Standard
5.61,1,Standard
5.63,1,Standard
5.67,1,Basic
5.72,1,Standard
5.74,1,Standard
5.78,1,Basic
5.79,1,Premium
5.87,1,Standard
5.88,1,Premium
6.04,1,Standard
6.05,1,Premium
6.07,1,Premium
6.07,1,Standard
6.09,1,Basic
6.09,1,Standard
6.17,1,Standard
6.23,1,Basic
6.34,1,Standard
6.36,1,Basic
6.42,1,Basic
6.43,1,Premium
6.44,1,Premium
6.45,1,Premium
6.48,1,Premium
6.73,1,Basic
6.73,1,Premium
6.73,1,Standard
6.77,1,Standard
6.86,1,Premium
6.88,1,Basic
6.89,1,Standard
6.93,1,Standard
6.94,1,Basic
7.02,1,Basic
7.03,1,Basic
7.03,1,Premium
7.07,1,Standard
7.15,1,Premium
7.16,1,Basic
7.16,1,Premium
7.17,1,Basic
7.23,1,Premium
7.26,1,Standard
7.27,1,Standard
7.28,1,Basic
7.44,1,Basic
7.51,1,Basic
7.51,1,Premium
7.52,1,Premium
7.54,1,Standard
7.59,1,Basic
7.59,1,Standard
7.66,1,Standard
